id,name,manufacturer,model,sw_version,area,via_device,disabled_by
fafc3a6854b4cb5b797624cd938a6453,Sun,,,,,,
ee33cd2a3459d02723374eba26fcc4d6,Home Assistant Core,Home Assistant,Home Assistant Core,2025.11.1,,,
1d3384cfdbf81faff72138875d6f2081,Home Assistant Supervisor,Home Assistant,Home Assistant Supervisor,2025.11.1,,,
76e6d9463ae13e4db38c57b7253bea8d,Home Assistant Host,Home Assistant,Home Assistant Host,,,,
c19d77a7726fb0e2ec232dd583e62e53,Home Assistant Operating System,Home Assistant,Home Assistant Operating System,16.3,,,
1ea1d4d44f02fc4ed5d98a08e52e2bb8,Backup,Home Assistant,Home Assistant Backup,2025.11.1,,,
e4024cbc4493e300864aad51cd2abeff,Smart TV,TCL,Smart TV,,,,
3b2b6a2f5daf5ac22524a361ebc20f15,Forecast,Met.no,Forecast,,,,
d38eae9bc399ecfaebc789c0b198f378,Studio Code Server,Home Assistant Community Add-ons,Home Assistant Add-on,5.19.3,,,
7f1cb400cbae2f965308b6466490dfc3,Advanced SSH & Web Terminal,Home Assistant Community Add-ons,Home Assistant Add-on,22.0.0,,,
de4203474563c1690fb5ce2edee22639,Tailscale,Home Assistant Community Add-ons,Home Assistant Add-on,0.26.1,,,
136a703fed1b3904d7e316bbe86daa04,GVC-Rd.Soho Router,GVC-Rd.GZ,LAMB-RT-01,,Salon,,
1d45388113dad252feeab6833829730c,Mosquitto broker,Official add-ons,Home Assistant Add-on,6.5.2,,,
af97eae328ffa00b8cad1c65aa2612e4,HASS Bridge:21064,Home Assistant,HomeBridge,,Salon,,
27dd33d048e7dbdf98b0760f887301a9,Matter Server,Official add-ons,Home Assistant Add-on,8.1.1,,,
409c11669d585fbdf79fa3978cc4c8e0,Aqara Camera Hub G3,Aqara,Aqara Camera Hub G3,4.3.4,,,
0a6bfaaf367ab4ea602868b9eda82ec7,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
93487914ff8ad8051da89d7ca6b78136,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
e872d656452f3b87095c6d8faee6750a,Aqara Motion Sensor,Aqara,Aqara Motion Sensor,5,,409c11669d585fbdf79fa3978cc4c8e0,
e9a39ca8cf491869bed3070277f8b9be,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
f88824d6a777b689e0225f1e2b403a68,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
e5335ba0cc5b61c63216c915539268fd,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
18e4e0c379b67db4782510795b530a5f,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
cacfb810a6d7ebb1703425bb72bd27fa,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
af5d76329f35e660b19b8717c1889d81,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
d2f68fc1190b0655af60c2acb80a95cc,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
f3c3c92e2841484d31ae43c7a86df36b,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
8e0e24d05efff61f843c78ad6f463afb,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
4c3c872c55aec2b8d5cf22f9f0ba31aa,Aqara Single Switch Module T1,Aqara,Aqara Single Switch Module T1,30,,409c11669d585fbdf79fa3978cc4c8e0,
